step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/flat_orientation_l2,Episode_Reward/action_rate_l1,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/energy,Episode_Reward/dof_pos_limits,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_contact_number,Episode_Reward/feet_slide,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/terrain_levels,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/base_height,Episode_Termination/bad_orientation,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
22,0.007812,0.007253,0.009023,-0.020388,-0.021340,-0.017217,-0.002353,-0.011707,-0.003982,-0.010515,-0.000233,-0.000282,-0.007309,-0.008276,0.006739,-0.001401,0.024641,-0.031641,-0.000112,0.000000,0.100000,0.100000,0.118027,0.118934,0.000000,0.000000,1.000000,0.074704,-0.012506,16.939543,0.002963,0.994711,38973.000000,9.476015,0.613235,-1.679997,31.020000,-1.679997,31.020000
23,0.007814,0.007174,0.008990,-0.019796,-0.021145,-0.017205,-0.002278,-0.011668,-0.003974,-0.010629,-0.000232,-0.000268,-0.007235,-0.008188,0.006685,-0.001389,0.024643,-0.032818,-0.000106,0.000000,0.100000,0.100000,0.116902,0.118834,0.000000,0.000000,1.000000,0.075403,-0.014927,16.942638,0.002963,0.995227,63531.000000,5.605659,0.583604,-1.712422,31.510000,-1.712422,31.510000
24,0.007941,0.007159,0.008985,-0.020244,-0.020957,-0.017204,-0.002434,-0.011795,-0.003957,-0.010447,-0.000232,-0.000267,-0.007227,-0.008162,0.006662,-0.001387,0.024540,-0.030049,-0.000106,0.000000,0.100000,0.100000,0.116474,0.118676,0.000000,0.000000,1.000000,0.074865,-0.015268,16.953564,0.002963,0.995860,57843.000000,6.221871,0.576086,-1.609074,29.590000,-1.609074,29.590000
25,0.007974,0.007280,0.008883,-0.020244,-0.020699,-0.017060,-0.003956,-0.011931,-0.003942,-0.010674,-0.000230,-0.000272,-0.007132,-0.008111,0.006693,-0.001368,0.024188,-0.031989,-0.000097,0.000000,0.100000,0.100000,0.115335,0.115346,0.000000,0.000000,1.000000,0.179577,-0.005362,16.971069,0.002963,0.997736,42271.000000,8.110328,1.191782,-1.800136,32.049999,-1.800136,32.049999
26,0.007508,0.007153,0.008810,-0.019353,-0.020661,-0.016938,-0.002274,-0.011824,-0.003915,-0.010322,-0.000228,-0.000274,-0.007068,-0.008006,0.006607,-0.001364,0.024184,-0.031289,-0.000088,0.000000,0.100000,0.100000,0.115198,0.114557,0.000000,0.000000,1.000000,0.077158,-0.015798,16.978891,0.001975,0.998766,39843.000000,8.658294,1.210798,-1.917127,30.990000,-1.917127,30.990000
27,0.007649,0.007191,0.008844,-0.020220,-0.020512,-0.017038,-0.002307,-0.011917,-0.003919,-0.010769,-0.000230,-0.000274,-0.007105,-0.008090,0.006520,-0.001367,0.024102,-0.031071,-0.000098,0.000000,0.100000,0.100000,0.114962,0.114771,0.000000,0.000000,1.000000,0.076023,-0.016830,16.986422,0.001975,0.999812,61605.000000,5.769505,0.613257,-1.808778,29.180000,-1.808778,29.180000
28,0.007443,0.007107,0.008775,-0.019442,-0.020389,-0.016940,-0.002207,-0.011909,-0.003932,-0.010522,-0.000229,-0.000268,-0.007072,-0.008030,0.006567,-0.001355,0.024078,-0.031153,-0.000100,0.000000,0.100000,0.100000,0.114881,0.114324,0.000000,0.000000,1.000000,0.072599,-0.017647,17.001308,0.001975,1.000912,59199.000000,6.040523,0.601640,-1.705774,30.340000,-1.705774,30.340000
29,0.007518,0.007218,0.008810,-0.020269,-0.020346,-0.017041,-0.002158,-0.011900,-0.003927,-0.010418,-0.000230,-0.000267,-0.007076,-0.008038,0.006593,-0.001352,0.023973,-0.031948,-0.000091,0.000000,0.100000,0.100000,0.114778,0.113687,0.000000,0.000000,1.000000,0.071782,-0.018080,17.010988,0.001975,1.001703,51974.000000,6.671556,0.893984,-2.187758,30.360001,-2.187758,30.360001
30,0.007362,0.007187,0.008687,-0.019359,-0.020071,-0.016852,-0.002155,-0.011996,-0.003913,-0.010287,-0.000227,-0.000272,-0.006991,-0.007902,0.006562,-0.001347,0.023821,-0.031463,-0.000085,0.000000,0.100000,0.100000,0.113730,0.111860,0.000000,0.000000,1.000000,0.073087,-0.015936,17.021711,0.002963,1.002662,41408.000000,8.295468,1.200576,-1.680565,29.670000,-1.680565,29.670000
31,0.007872,0.007267,0.008771,-0.019663,-0.019941,-0.017055,-0.002252,-0.012093,-0.003938,-0.010486,-0.000230,-0.000249,-0.006974,-0.008018,0.006590,-0.001348,0.023998,-0.030797,-0.000084,0.000000,0.100000,0.100000,0.112796,0.111376,0.000000,0.000000,1.000000,0.076712,-0.017113,17.027233,0.001975,1.003324,39510.000000,9.192801,0.759508,-1.772104,28.350000,-1.772104,28.350000
