step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Episode_Reward/feet_clearance,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
7143,0.917896,0.361966,0.143530,-0.085179,-0.016714,-0.011524,-0.081235,-0.003044,-0.002772,-0.022803,0.000000,0.005809,-0.031759,-0.070471,-0.003788,0.322898,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.404844,0.705220,0.817444,0.182556,0.193898,0.000373,9.942293,0.000010,0.630048,183824.000000,1.962568,0.176511,30.331345,748.479980,30.331345,748.479980
7144,0.830414,0.328177,0.130636,-0.088895,-0.017409,-0.012235,-0.073066,-0.003616,-0.002511,-0.021952,0.000000,0.005439,-0.028933,-0.062143,-0.003239,0.296370,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.395444,0.667301,0.816732,0.183268,0.201193,-0.000486,9.946440,0.000010,0.630201,173159.000000,2.074076,0.196752,26.196323,666.349976,26.196323,666.349976
7145,0.917626,0.360728,0.142819,-0.074855,-0.016216,-0.009877,-0.080752,-0.003584,-0.002720,-0.022980,0.000000,0.005876,-0.031379,-0.065949,-0.003989,0.324346,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.386635,0.705116,0.816457,0.183543,0.209275,0.000538,9.950595,0.000010,0.630367,177873.000000,2.022874,0.187772,27.364576,688.799988,27.364576,688.799988
7146,0.860379,0.335402,0.133619,-0.082022,-0.017602,-0.009318,-0.076311,-0.003349,-0.002556,-0.021743,0.000000,0.005274,-0.029625,-0.074323,-0.004350,0.306162,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.374683,0.683778,0.815704,0.184296,0.212137,-0.000018,9.956554,0.000010,0.630596,183669.000000,1.933847,0.207048,29.481756,724.859985,29.481756,724.859985
7147,0.738218,0.295156,0.118219,-0.101596,-0.020192,-0.009614,-0.070964,-0.005310,-0.002437,-0.022873,0.000000,0.004776,-0.026677,-0.089407,-0.005579,0.266413,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.382319,0.621568,0.814789,0.185211,0.233748,0.000318,9.961444,0.000010,0.630760,187573.000000,1.914883,0.181448,24.704590,634.940002,24.704590,634.940002
7148,0.910155,0.359291,0.141880,-0.073814,-0.017463,-0.009098,-0.080263,-0.004014,-0.002729,-0.023599,0.000000,0.005877,-0.031062,-0.050217,-0.003153,0.326375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.397948,0.691978,0.813700,0.186300,0.217371,0.001395,9.966279,0.000010,0.630939,183825.000000,1.958576,0.180501,27.468117,683.619995,27.468117,683.619995
7149,0.894479,0.358518,0.142196,-0.077254,-0.016152,-0.009087,-0.081460,-0.003162,-0.002759,-0.022980,0.000000,0.006146,-0.031951,-0.055219,-0.002379,0.326514,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.421243,0.695830,0.812419,0.187581,0.218908,0.000436,9.970063,0.000010,0.631086,179570.000000,2.009047,0.180713,29.461641,723.380005,29.461641,723.380005
7150,0.873488,0.343269,0.136809,-0.082702,-0.018423,-0.008861,-0.078835,-0.004724,-0.002615,-0.023779,0.000000,0.005547,-0.030794,-0.070747,-0.003678,0.315625,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.392470,0.695228,0.812002,0.187998,0.223318,0.001481,9.974144,0.000010,0.631248,184002.000000,1.958635,0.178379,24.779478,647.520020,24.779478,647.520020
7151,0.837105,0.330780,0.131681,-0.087573,-0.017299,-0.008919,-0.074994,-0.002813,-0.002557,-0.021085,0.000000,0.005372,-0.028999,-0.052402,-0.003709,0.302097,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.383450,0.661662,0.811157,0.188843,0.201201,0.001919,9.978651,0.000010,0.631430,184577.000000,1.947692,0.182660,25.600389,654.840027,25.600389,654.840027
7152,0.779953,0.307880,0.124240,-0.094052,-0.018848,-0.009481,-0.072596,-0.003997,-0.002469,-0.021722,0.000000,0.004908,-0.028720,-0.070965,-0.003827,0.281577,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.382185,0.654504,0.811035,0.188965,0.176256,0.001195,9.984645,0.000010,0.631634,186279.000000,1.929514,0.181378,23.594206,620.539978,23.594206,620.539978
7153,0.916256,0.361117,0.143617,-0.075454,-0.016606,-0.009689,-0.080886,-0.003649,-0.002667,-0.023278,0.000000,0.005732,-0.031848,-0.066998,-0.004478,0.330634,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.409823,0.707424,0.811707,0.188293,0.196580,0.000249,9.988564,0.000010,0.631784,185118.000000,1.942430,0.181704,27.219761,693.530029,27.219761,693.530029
7154,0.880266,0.347833,0.139501,-0.084243,-0.017153,-0.010076,-0.078115,-0.003215,-0.002660,-0.022423,0.000000,0.005696,-0.031890,-0.062812,-0.003486,0.319265,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.414545,0.698157,0.812347,0.187653,0.218742,0.000906,9.992645,0.000010,0.631943,179946.000000,2.002872,0.182314,26.266094,673.200012,26.266094,673.200012
7155,0.795607,0.312378,0.125407,-0.092325,-0.017512,-0.008671,-0.075246,-0.004245,-0.002508,-0.022077,0.000000,0.005180,-0.028800,-0.062544,-0.002896,0.287236,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.370002,0.652349,0.812632,0.187368,0.210731,0.001749,9.996729,0.000010,0.632091,180173.000000,1.999502,0.182929,25.272629,653.650024,25.272629,653.650024
7156,0.849957,0.333725,0.134110,-0.082945,-0.019655,-0.009122,-0.078666,-0.005168,-0.002696,-0.024785,0.000000,0.005546,-0.030619,-0.060877,-0.003746,0.308666,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.398900,0.696618,0.812459,0.187541,0.181802,0.001617,10.000593,0.000010,0.632230,184236.000000,1.953640,0.180665,29.924206,724.559998,29.924206,724.559998
7157,0.779163,0.308589,0.124585,-0.097662,-0.019066,-0.009804,-0.071264,-0.003200,-0.002490,-0.020760,0.000000,0.005102,-0.028471,-0.046066,-0.004934,0.284088,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.389962,0.662898,0.811808,0.188192,0.191610,-0.000051,10.004598,0.000010,0.632398,187330.000000,1.914512,0.184540,25.641399,652.619995,25.641399,652.619995
7158,0.810820,0.322196,0.129883,-0.093519,-0.018850,-0.009376,-0.074727,-0.003598,-0.002568,-0.022185,0.000000,0.005339,-0.029625,-0.048860,-0.003316,0.297773,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.411016,0.677895,0.812683,0.187317,0.202002,0.000672,10.008682,0.000010,0.632563,186429.000000,1.926783,0.182406,23.313562,616.280029,23.313562,616.280029
