step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/flat_orientation_l2,Episode_Reward/action_rate_l1,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/energy,Episode_Reward/dof_pos_limits,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_contact_number,Episode_Reward/feet_slide,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/terrain_levels,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/base_height,Episode_Termination/bad_orientation,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
29,0.004251,0.006054,0.008310,-0.019238,-0.021860,-0.016221,-0.002634,-0.012666,-0.004419,-0.007335,-0.000259,-0.000424,-0.008230,-0.008904,0.005580,-0.001287,0.022358,-0.031542,0.000000,0.000000,0.100000,0.100000,0.124898,0.121730,0.000000,0.000000,1.000000,0.111834,-0.048258,17.115223,0.000010,1.007335,345.000000,4.033839,0.416612,-1.773556,30.910000,-1.773556,30.910000
30,0.007618,0.006441,0.009108,-0.024525,-0.023583,-0.017947,-0.002816,-0.012696,-0.004786,-0.011383,-0.000271,-0.000429,-0.008406,-0.010322,0.007139,-0.001450,0.023752,-0.035225,-0.000122,0.000000,0.100000,0.100000,0.124836,0.134402,0.000000,0.000000,1.000000,0.128325,-0.043023,17.112120,0.000010,1.007079,341.000000,4.053789,0.440627,-1.887474,30.100000,-1.887474,30.100000
31,0.006525,0.007092,0.008863,-0.027227,-0.022990,-0.017531,-0.003275,-0.013027,-0.004841,-0.011878,-0.000268,-0.000599,-0.007890,-0.009956,0.005495,-0.001611,0.022121,-0.041158,-0.000094,0.000000,0.100000,0.100000,0.120891,0.117536,0.000000,0.000000,1.000000,0.119806,-0.046283,17.114052,0.000010,1.007403,350.000000,3.992220,0.391503,-1.965917,30.730000,-1.965917,30.730000
32,0.010748,0.007278,0.009918,-0.015615,-0.022857,-0.019527,-0.003454,-0.013278,-0.005377,-0.011262,-0.000297,-0.000591,-0.008812,-0.011102,0.007617,-0.001632,0.028756,-0.050777,-0.000050,0.000000,0.100000,0.100000,0.127922,0.136955,0.000000,0.000000,1.000000,0.108208,-0.043432,17.113197,0.000010,1.007144,328.000000,4.257426,0.412555,-1.804681,31.110001,-1.804681,31.110001
33,0.006175,0.006512,0.008735,-0.025499,-0.022148,-0.017411,-0.003210,-0.012877,-0.004653,-0.010711,-0.000266,-0.000480,-0.008154,-0.009211,0.006293,-0.001428,0.022101,-0.032285,-0.000151,0.000000,0.100000,0.100000,0.118799,0.117331,0.000000,0.000000,1.000000,0.101954,-0.044647,17.105713,0.000010,1.006366,352.000000,3.942382,0.419202,-1.880914,31.240000,-1.880914,31.240000
34,0.005081,0.005798,0.008676,-0.017712,-0.024517,-0.017272,-0.003309,-0.012496,-0.004621,-0.011255,-0.000263,-0.000476,-0.008383,-0.009783,0.006855,-0.001353,0.024538,-0.036952,-0.000216,0.000000,0.100000,0.100000,0.124071,0.139137,0.000000,0.000000,1.000000,0.099852,-0.047691,17.099926,0.000010,1.006044,335.000000,4.149736,0.434295,-1.901657,30.549999,-1.901657,30.549999
35,0.006764,0.006666,0.008577,-0.013377,-0.022465,-0.016773,-0.002804,-0.013878,-0.004286,-0.010165,-0.000252,-0.000393,-0.007350,-0.009534,0.006155,-0.001339,0.025124,-0.023016,-0.000153,0.000000,0.100000,0.100000,0.116205,0.119709,0.000000,0.000000,1.000000,0.116603,-0.044510,17.098824,0.000010,1.006020,345.000000,3.999385,0.445951,-1.783919,30.170000,-1.783919,30.170000
36,0.008326,0.006738,0.009037,-0.016196,-0.023009,-0.018061,-0.002771,-0.012787,-0.004706,-0.010602,-0.000274,-0.000359,-0.008136,-0.009750,0.007072,-0.001430,0.025688,-0.039777,-0.000169,0.000000,0.100000,0.100000,0.121472,0.128161,0.000000,0.000000,1.000000,0.123595,-0.045365,17.095278,0.000010,1.005599,352.000000,3.978872,0.377671,-1.917583,30.990000,-1.917583,30.990000
37,0.006902,0.006918,0.009156,-0.033515,-0.022103,-0.018256,-0.003235,-0.012937,-0.004929,-0.011460,-0.000280,-0.000375,-0.008898,-0.009672,0.006968,-0.001660,0.021350,-0.050877,-0.000306,0.000000,0.100000,0.100000,0.128217,0.138248,0.000000,0.000000,1.000000,0.119311,-0.046765,17.090710,0.000010,1.005254,341.000000,4.075564,0.419491,-2.206346,31.850000,-2.206346,31.850000
38,0.008141,0.006210,0.009126,-0.006380,-0.024148,-0.017979,-0.003018,-0.012539,-0.004600,-0.012844,-0.000265,-0.000460,-0.007806,-0.009927,0.006898,-0.001513,0.029185,-0.030178,-0.000028,0.000000,0.100000,0.100000,0.122418,0.134202,0.000000,0.000000,1.000000,0.131636,-0.042812,17.084915,0.000010,1.004722,355.000000,3.891421,0.424371,-1.899165,30.900000,-1.899165,30.900000
39,0.006558,0.006545,0.008757,-0.024233,-0.022689,-0.017263,-0.002748,-0.012520,-0.004545,-0.010550,-0.000265,-0.000463,-0.008004,-0.009357,0.006413,-0.001606,0.022474,-0.032652,-0.000175,0.000000,0.100000,0.100000,0.119381,0.131409,0.000000,0.000000,1.000000,0.099994,-0.042370,17.085400,0.000010,1.005000,334.000000,4.125118,0.471967,-1.841850,31.559999,-1.841850,31.559999
