step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
22,0.000000,0.000000,0.032435,-0.200000,-0.013708,-0.001669,-0.009771,-0.000170,-0.000305,-0.004919,0.000000,0.000067,-0.007109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.128869,0.157781,0.000000,1.000000,0.027517,-0.002079,18.059443,0.006667,1.090647,176969.000000,2.009809,0.212134,-4.107203,65.970001,-4.107203,65.970001
23,0.000000,0.000000,0.032980,-0.200000,-0.013785,-0.001692,-0.009938,-0.000172,-0.000311,-0.005026,0.000000,0.000077,-0.007249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.129902,0.158511,0.000000,1.000000,0.043644,0.008836,18.094492,0.000390,1.094218,179874.000000,1.990156,0.195901,-4.098311,69.570000,-4.098311,69.570000
24,0.000000,0.000000,0.033402,-0.200000,-0.014001,-0.001687,-0.010093,-0.000178,-0.000319,-0.005098,0.000000,0.000076,-0.007364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.130857,0.161759,0.000000,1.000000,0.028880,-0.001370,18.111290,0.001317,1.095796,178306.000000,2.000473,0.204807,-4.104632,70.059998,-4.104632,70.059998
25,0.000000,0.000000,0.035113,-0.200000,-0.014087,-0.001677,-0.010641,-0.000180,-0.000336,-0.005436,0.000000,0.000086,-0.007719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.132137,0.170140,0.000000,1.000000,0.026498,-0.004371,18.121609,0.002963,1.095749,174484.000000,2.048242,0.205348,-4.092986,73.250000,-4.092986,73.250000
26,0.000000,0.000000,0.036764,-0.200000,-0.014535,-0.001738,-0.011146,-0.000182,-0.000355,-0.005760,0.000000,0.000080,-0.007975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.135019,0.177922,0.000000,1.000000,0.025864,0.007144,18.128551,0.001975,1.097102,176536.000000,2.023551,0.203846,-4.091243,76.510002,-4.091243,76.510002
27,0.000000,0.000000,0.038012,-0.200000,-0.014560,-0.001730,-0.011578,-0.000177,-0.000368,-0.005981,0.000000,0.000093,-0.008311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.135998,0.180978,0.000000,1.000000,0.018341,-0.003108,18.142469,0.002963,1.097290,177107.000000,2.010769,0.209442,-4.095929,76.400002,-4.095929,76.400002
28,0.000000,0.000000,0.037717,-0.200000,-0.014630,-0.001724,-0.011514,-0.000170,-0.000368,-0.005913,0.000000,0.000097,-0.008211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.137314,0.180936,0.000000,1.000000,0.020560,-0.004769,18.132549,0.002963,1.096869,178489.000000,1.982733,0.220284,-4.079122,83.949997,-4.079122,83.949997
29,0.000000,0.000000,0.039619,-0.200000,-0.014899,-0.001754,-0.012115,-0.000176,-0.000388,-0.006225,0.000000,0.000097,-0.008628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.138914,0.190087,0.000000,1.000000,0.033182,-0.000730,18.129988,0.001975,1.095069,181415.000000,1.980701,0.186784,-4.090322,79.269997,-4.090322,79.269997
30,0.000000,0.000000,0.040663,-0.200000,-0.014991,-0.001744,-0.012447,-0.000176,-0.000400,-0.006388,0.000000,0.000092,-0.008793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.141280,0.194691,0.000000,1.000000,0.033806,-0.002861,18.103207,0.001317,1.093445,184010.000000,1.957433,0.179492,-4.062819,93.370003,-4.062819,93.370003
31,0.000000,0.000000,0.041373,-0.200000,-0.015133,-0.001746,-0.012691,-0.000174,-0.000412,-0.006446,0.000000,0.000097,-0.009083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.143427,0.201217,0.000000,1.000000,0.031369,-0.003619,18.082779,0.001975,1.091824,182860.000000,1.975682,0.174681,-4.070974,83.449997,-4.070974,83.449997
