# JOINT_HIP_PITCH_L,JOINT_HIP_ROLL_L,JOINT_HIP_YAW_L,JOINT_KNEE_PITCH_L,JOINT_ANKLE_PITCH_L,JOINT_ANKLE_ROLL_L,JOINT_HIP_PITCH_R,JOINT_HIP_ROLL_R,JOINT_HIP_YAW_R,JOINT_KNEE_PITCH_R,JOINT_ANKLE_PITCH_R,JOINT_ANKLE_ROLL_R,joint_la1,joint_ra1
-15.1171,-0.0000,-0.0000,32.1766,-11.7194,0.0000,-3.2716,-0.0000,0.0000,59.7020,-0.7804,0.0000,-4.4602,3.3744
-12.0103,-0.0000,-0.0000,31.6306,-12.8649,0.0000,-4.6792,-0.0000,0.0000,61.1316,-2.4967,0.0000,-3.6571,2.6702
-9.2051,-0.0000,-0.0000,31.5442,-14.0941,0.0000,-7.1080,0.0000,0.0000,60.9672,-3.9205,0.0000,-2.9935,0.6920
-7.8451,-0.0000,-0.0000,30.6590,-14.7640,0.0000,-11.0202,-0.0000,0.0000,60.1630,-4.6637,0.0000,-2.5631,-0.4280
-5.3171,-0.0000,-0.0000,29.7485,-15.3465,0.0000,-12.6662,0.0000,0.0000,58.1522,-5.6243,0.0000,-2.0633,-1.4124
-2.4730,-0.0000,-0.0000,28.3458,-15.9430,0.0000,-15.5764,-0.0000,0.0000,54.0375,-5.9555,0.0000,-1.7523,-3.2859
-0.5539,-0.0000,-0.0000,26.8876,-15.5664,0.0000,-17.4860,-0.0000,0.0000,50.4874,-6.6441,0.0000,-1.0788,-3.8644
2.5519,-0.0000,-0.0000,24.8724,-15.6354,0.0000,-18.5709,-0.0000,0.0000,43.6746,-6.8609,0.0000,-0.2613,-5.3226
4.3570,-0.0000,-0.0000,23.2254,-15.1145,0.0000,-19.0304,-0.0000,0.0000,38.3558,-6.2494,0.0000,-0.1525,-6.2524
6.3638,-0.0000,0.0000,21.3358,-14.9212,0.0000,-19.6025,-0.0000,0.0000,33.3042,-7.4011,0.0000,0.2332,-7.5306
10.4406,-0.0000,0.0000,17.7115,-13.2538,0.0000,-19.4442,-0.0000,0.0000,26.3768,-8.8648,-0.0000,0.8931,-8.8511
12.7625,-0.0000,0.0000,15.0107,-12.5171,0.0000,-19.5557,-0.0000,0.0000,22.2249,-9.3819,-0.0000,1.3017,-9.7587
